artist,url,life,artworks
Marcelle Cahn,/en/marcelle-cahn,1895 - 1981,51
Gustave Caillebotte,/en/gustave-caillebotte,1848 - 1894,208
Pedro Calapez,/en/pedro-calapez,born 1953,16
Alexander Calder,/en/alexander-calder,1898 - 1976,229
Antonio Calderara,/en/antonio-calderara,1903 - 1978,23
Fernando Calhau,/en/fernando-calhau,1948 - 2002,14
Ibrahim Calli,/en/ibrahim-calli,1882 - 1960,7
Stefan Caltia,/en/stefan-caltia,born 1942,43
Jorge Camacho,/en/jorge-camacho,1934 - 2011,10
Jorge González Camarena,/en/jorge-gonzalez-camarena,1908 - 1980,7
Julia Margaret Cameron,/en/julia-margaret-cameron,1815 - 1879,16
Luis Camnitzer,/en/luis-camnitzer,born 1937,20
